//======================================
//WEAPONS
//======================================
//Cool Pistol
weapon/cpistol      COLPISF

//FlareGun
dsFLRAIR	dsFLRAIR
dsFLRFIR	dsFLRFIR
dsFRBALL	dsFRBALL
dsEXPLRG	DSBLTXPL

//Mossberg
weapons/mossberg500fire		DSM50FIR
weapons/mossberg500cock		DSM50PMP
weapons/bulletexplode		DSBLTXPL

//Fist
weapons/fistwall		DSFSWLL

weapons/deagle50ae		DSDEAGLE

//Machine Pistol
MP/Fire			        MPFIRE
MP/Up			        MPCOCK

//Baseball Bat
weapons/baseballswing1		dsbbtws1
weapons/baseballswing2		dsbbtws2
weapons/baseballswing3		dsbbtws3
$random weapons/baseballswing	{ weapons/baseballswing1 weapons/baseballswing2 weapons/baseballswing3 }
weapons/baseballhit		dsbbthit

//LongRifle
$RANDOM sniper/gun { sniper1 sniper2 }
sniper1 sniper1
sniper2 sniper2

//Ice Wand
weapons/iceattack               DSICEA
heretic/weaponpickup            DSHERPUP
heretic/itempickup              DSHERIPU 
mealstrom/boltcrackle		dsbolt

//AlienSuperShitgun
$pitchshiftrange 4
weapons/alienshotgun1		dsqshtg1
weapons/alienshotgunload	dsqshtgl
weapons/alienshotgun2		dsqshtg2

weapons/riflescope		dsrifsco

weapons/weaponup                DSWEPUP
weapons/weapondown              DSWEPDWN

weapons/m202a1			DSM22FIR
weapons/m202a1rocketfly		DSM22FLY
weapons/m202a1rocketexp		DSM22EX1

$random weapons/m202a1rcktexp {weapons/m202a1rcktexp1 weapons/m202a1rcktexp2 weapons/m202a1rcktexp3 weapons/m202a1rcktexp4 weapons/m202a1rcktexp5 weapons/m202a1rcktexp6}

weapons/m202a1rcktexp1		DSEXPLO1
weapons/m202a1rcktexp2		DSEXPLO2
weapons/m202a1rcktexp3		DSEXPLO3
weapons/m202a1rcktexp4		DSBLTXPL
weapons/m202a1rcktexp5		DSEXPLO5
weapons/m202a1rcktexp6		DSEXPLO6

//Fist
weapons/fistswing       DSMZSW1

//Chainsaw
weapons/d3chnsws1			DSCSRT1
weapons/d3chnsws2			DSCSRT2
weapons/d3chnsws3			DSCSRT3
weapons/d3chnsws4			DSCSRT4
weapons/d3chnswidle			DSCSAW1
weapons/d3chnswbegin			DSCSAW2
weapons/d3chnswrun			DSCSAW3

//Knife
weapons/knifeup			        dsknfup
weapons/knifeidle		        dsknfidl
weapons/knifehit          		dsknfhit

//ChaingunCannon
ccannon/fire		dscannon

//Unmaker
weapons/unmakerpickup	d64screa
weapons/unidle  		D64unidl
weapons/unpickup		D64growl
weapons/soulpickup		D64suck
weapon/unfire			unfire
weapon/unaltfire		UNAFIRE
weapons/unfirebl		unfirebl
weapons/unblexpl		unblexpl
weapons/64pickup         DSITEM64

//WaveRifle
weapons/tilcharge           dstilcrg
weapons/tilshot             dsfpdfir
weapons/tilexp              dsfpdxlp

//AOEHand
monk/hand1                  DSAOEHAN
monk/hitscan                dshitsca

